id_entidad,estado,id_mpio,mpio_mty,id_localidad,localidad,id_ageb,folio_ageb,pop_total,viviendas_hab,pop_15_edu_incomp,pop_15_24_no_educ,pop_no_salud,pop_hacinamiento,viviendas_no_excusado,viviendas_piso_tierra,viviendas_no_agua,viviendas_no_drenaje,viviendas_no_ee,rezago_social
19,Nuevo León,39,Monterrey,1,MONTERREY,5000,1.9039E+12,2606,588,0.455,0.812,0.238,13.504,1.020,3.401,0.170,0.510,0.170,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5015,1.9039E+12,2294,523,0.441,0.760,0.293,15.488,0.765,15.105,2.677,5.927,0.382,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5034,1.9039E+12,3157,706,0.412,0.699,0.266,9.233,0.283,3.116,0.992,1.558,0.425,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5049,1.9039E+12,2395,596,0.294,0.731,0.237,5.556,0.336,3.020,0.168,0.503,0.168,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5053,1.9039E+12,938,203,0.425,0.628,0.221,6.931,0.000,4.433,0.985,0.493,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5068,1.9039E+12,2313,613,0.218,0.696,0.227,0.821,0.326,1.142,1.305,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5072,1.9039E+12,754,214,0.032,0.176,0.101,0.000,6.075,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5087,1.9039E+12,4518,1291,0.098,0.430,0.156,0.838,4.880,0.852,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5091,1.9039E+12,1473,431,0.022,0.384,0.155,0.000,9.281,0.928,0.232,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5104,1.9039E+12,3842,1005,0.245,0.749,0.366,2.398,0.995,1.592,1.592,1.791,0.199,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5119,1.9039E+12,1866,547,0.031,0.282,0.106,0.000,7.861,0.914,0.366,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5138,1.9039E+12,2675,794,0.017,0.504,0.070,0.000,18.010,0.504,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5142,1.9039E+12,872,244,0.040,0.359,0.079,0.000,0.000,1.230,0.410,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5157,1.9039E+12,4648,1469,0.019,0.358,0.091,0.000,5.378,3.131,0.136,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5161,1.9039E+12,591,170,0.028,0.542,0.080,0.000,0.588,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5176,1.9039E+12,217,53,0.020,0.424,0.060,0.000,18.868,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5180,1.9039E+12,199,44,0.024,0.417,0.055,0.000,11.364,2.273,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5195,1.9039E+12,247,42,0.128,0.339,0.126,0.000,2.381,0.000,4.762,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5208,1.9039E+12,3631,951,0.036,0.365,0.091,0.117,7.992,1.052,1.577,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5212,1.9039E+12,2798,803,0.027,0.263,0.091,0.000,6.849,1.619,0.125,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5227,1.9039E+12,441,135,0.010,0.256,0.045,0.000,12.593,3.704,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5231,1.9039E+12,493,137,0.010,0.326,0.059,0.000,3.650,1.460,21.168,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5246,1.9039E+12,546,142,0.029,0.281,0.110,0.000,11.268,4.930,1.408,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5250,1.9039E+12,1009,298,0.023,0.360,0.066,0.000,5.034,2.013,4.027,0.336,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5284,1.9039E+12,208,49,0.065,0.464,0.077,0.000,0.000,4.082,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5299,1.9039E+12,62,12,0.033,0.500,0.016,0.000,0.000,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5301,1.9039E+12,37,5,0.083,0.000,0.054,0.000,0.000,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,5335,1.9039E+12,6,1,#VALUE!,#VALUE!,#VALUE!,*,*,*,*,*,*,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,018A,190390001018A,4222,1008,0.368,0.633,0.268,2.584,0.198,0.298,0.099,0.000,0.198,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,025A,190390001025A,4318,1061,0.326,0.574,0.239,1.613,0.471,1.037,0.000,0.377,0.189,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,032A,190390001032A,4718,1044,0.494,0.765,0.334,8.090,2.011,3.544,1.149,1.341,0.096,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,057A,190390001057A,1974,488,0.340,0.643,0.281,3.992,1.434,0.205,0.000,0.205,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,064A,190390001064A,2935,858,0.249,0.445,0.173,0.713,1.981,1.748,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,071A,190390001071A,2015,600,0.055,0.284,0.151,0.000,0.000,2.000,0.000,0.167,0.167,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,089A,190390001089A,2476,842,0.075,0.344,0.175,0.000,10.095,0.831,0.119,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,096A,190390001096A,936,277,0.272,0.517,0.295,0.727,0.361,0.000,0.361,0.000,0.361,Bajo
